tick,type,time,meta,track,frame_rate,hours,minutes,seconds,frames,sub_frames,tempo,key,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,data,control,value,channel,program,pitch,note,velocity
0,instrument_name,0,1,7,,,,,,,,,,,,,,,,,,,,
0,instrument_name,0,1,13,,,,,,,,,,,,,,,,,,,,
0,track_name,0,1,7,,,,,,,,,,,,,,,,,,,,
0,track_name,0,1,13,,,,,,,,,,,,,,,,,,,,
0,track_name,0,1,3,,,,,,,,,,,,,,,,,,,,
0,instrument_name,0,1,3,,,,,,,,,,,,,,,,,,,,
780,control_change,0,0,1,,,,,,,,,,,,,,121,0,5,,,,
780,control_change,0,0,1,,,,,,,,,,,,,,121,0,3,,,,
780,control_change,0,0,1,,,,,,,,,,,,,,121,0,2,,,,
780,control_change,0,0,1,,,,,,,,,,,,,,121,0,1,,,,
780,control_change,0,0,1,,,,,,,,,,,,,,121,0,6,,,,
780,control_change,780,0,1,,,,,,,,,,,,,,121,0,0,,,,
780,control_change,0,0,1,,,,,,,,,,,,,,121,0,7,,,,
780,control_change,0,0,1,,,,,,,,,,,,,,121,0,8,,,,
780,control_change,0,0,1,,,,,,,,,,,,,,121,0,9,,,,
780,control_change,0,0,1,,,,,,,,,,,,,,121,0,10,,,,
780,control_change,0,0,1,,,,,,,,,,,,,,121,0,4,,,,
780,control_change,0,0,1,,,,,,,,,,,,,,121,0,13,,,,
780,control_change,0,0,1,,,,,,,,,,,,,,121,0,15,,,,
780,control_change,0,0,1,,,,,,,,,,,,,,121,0,11,,,,
780,control_change,0,0,1,,,,,,,,,,,,,,121,0,14,,,,
780,control_change,0,0,1,,,,,,,,,,,,,,121,0,12,,,,
790,sysex,10,0,1,,,,,,,,,,,,,"(65, 16, 66, 18, 64, 0, 4, 127, 61)",,,,,,,
810,sysex,20,0,1,,,,,,,,,,,,,"(65, 16, 66, 18, 64, 1, 48, 3, 12)",,,,,,,
830,sysex,20,0,1,,,,,,,,,,,,,"(65, 16, 66, 18, 64, 1, 51, 95, 45)",,,,,,,
1440,control_change,1440,0,8,,,,,,,,,,,,,,101,0,7,,,,
1440,control_change,1440,0,7,,,,,,,,,,,,,,101,0,6,,,,
1440,control_change,1440,0,2,,,,,,,,,,,,,,101,0,1,,,,
1440,control_change,1440,0,12,,,,,,,,,,,,,,101,0,12,,,,
1440,control_change,1440,0,10,,,,,,,,,,,,,,101,0,10,,,,
1440,control_change,1440,0,13,,,,,,,,,,,,,,101,0,13,,,,
1440,control_change,1440,0,9,,,,,,,,,,,,,,101,0,8,,,,
1440,control_change,1440,0,3,,,,,,,,,,,,,,101,0,2,,,,
1440,control_change,1440,0,15,,,,,,,,,,,,,,101,0,15,,,,
1440,control_change,1440,0,4,,,,,,,,,,,,,,101,0,3,,,,
1440,control_change,1440,0,11,,,,,,,,,,,,,,101,0,11,,,,
1440,control_change,1440,0,6,,,,,,,,,,,,,,101,0,5,,,,
1440,control_change,1440,0,14,,,,,,,,,,,,,,101,0,14,,,,
1440,control_change,1440,0,5,,,,,,,,,,,,,,101,0,4,,,,
1450,control_change,0,0,6,,,,,,,,,,,,,,6,0,5,,,,
1450,control_change,10,0,5,,,,,,,,,,,,,,100,0,4,,,,
1450,control_change,0,0,5,,,,,,,,,,,,,,6,0,4,,,,
1450,control_change,0,0,13,,,,,,,,,,,,,,6,0,13,,,,
1450,control_change,0,0,2,,,,,,,,,,,,,,6,0,1,,,,
1450,control_change,10,0,15,,,,,,,,,,,,,,100,0,15,,,,
1450,control_change,0,0,15,,,,,,,,,,,,,,6,0,15,,,,
1450,control_change,0,0,12,,,,,,,,,,,,,,6,0,12,,,,
1450,control_change,0,0,8,,,,,,,,,,,,,,6,0,7,,,,
1450,control_change,10,0,8,,,,,,,,,,,,,,100,0,7,,,,
1450,control_change,10,0,3,,,,,,,,,,,,,,100,0,2,,,,
1450,control_change,0,0,3,,,,,,,,,,,,,,6,0,2,,,,
1450,control_change,0,0,7,,,,,,,,,,,,,,6,0,6,,,,
1450,control_change,10,0,7,,,,,,,,,,,,,,100,0,6,,,,
1450,control_change,10,0,13,,,,,,,,,,,,,,100,0,13,,,,
1450,control_change,10,0,12,,,,,,,,,,,,,,100,0,12,,,,
1450,control_change,10,0,4,,,,,,,,,,,,,,100,0,3,,,,
1450,control_change,10,0,2,,,,,,,,,,,,,,100,0,1,,,,
1450,control_change,10,0,6,,,,,,,,,,,,,,100,0,5,,,,
1450,control_change,10,0,14,,,,,,,,,,,,,,100,0,14,,,,
1450,control_change,0,0,14,,,,,,,,,,,,,,6,0,14,,,,
1450,control_change,0,0,11,,,,,,,,,,,,,,6,0,11,,,,
1450,control_change,10,0,10,,,,,,,,,,,,,,100,0,10,,,,
1450,control_change,10,0,11,,,,,,,,,,,,,,100,0,11,,,,
1450,control_change,0,0,10,,,,,,,,,,,,,,6,0,10,,,,
1450,control_change,0,0,4,,,,,,,,,,,,,,6,0,3,,,,
1450,control_change,10,0,9,,,,,,,,,,,,,,100,0,8,,,,
1450,control_change,0,0,9,,,,,,,,,,,,,,6,0,8,,,,
1470,control_change,20,0,12,,,,,,,,,,,,,,0,0,12,,,,
1470,control_change,20,0,4,,,,,,,,,,,,,,0,0,3,,,,
1470,control_change,20,0,3,,,,,,,,,,,,,,0,0,2,,,,
1470,control_change,20,0,7,,,,,,,,,,,,,,0,0,6,,,,
1470,control_change,20,0,14,,,,,,,,,,,,,,0,0,14,,,,
1470,control_change,20,0,6,,,,,,,,,,,,,,0,0,5,,,,
1470,control_change,20,0,10,,,,,,,,,,,,,,0,0,10,,,,
1470,control_change,20,0,8,,,,,,,,,,,,,,0,0,7,,,,
1470,control_change,20,0,9,,,,,,,,,,,,,,0,0,8,,,,
1470,control_change,20,0,15,,,,,,,,,,,,,,0,0,15,,,,
1470,control_change,20,0,2,,,,,,,,,,,,,,0,0,1,,,,
1470,control_change,20,0,5,,,,,,,,,,,,,,0,0,4,,,,
1470,control_change,20,0,11,,,,,,,,,,,,,,0,0,11,,,,
1470,control_change,20,0,13,,,,,,,,,,,,,,0,0,13,,,,
1480,control_change,10,0,12,,,,,,,,,,,,,,32,1,12,,,,
1480,control_change,10,0,15,,,,,,,,,,,,,,32,1,15,,,,
1480,control_change,10,0,5,,,,,,,,,,,,,,32,1,4,,,,
1480,control_change,10,0,3,,,,,,,,,,,,,,32,1,2,,,,
1480,control_change,10,0,13,,,,,,,,,,,,,,32,1,13,,,,
1480,control_change,10,0,4,,,,,,,,,,,,,,32,1,3,,,,
1480,control_change,10,0,11,,,,,,,,,,,,,,32,1,11,,,,
1480,control_change,10,0,9,,,,,,,,,,,,,,32,1,8,,,,
1480,control_change,10,0,10,,,,,,,,,,,,,,32,1,10,,,,
1480,control_change,10,0,14,,,,,,,,,,,,,,32,1,14,,,,
1480,control_change,10,0,7,,,,,,,,,,,,,,32,1,6,,,,
1480,control_change,10,0,2,,,,,,,,,,,,,,32,1,1,,,,
1480,control_change,10,0,6,,,,,,,,,,,,,,32,1,5,,,,
1480,control_change,10,0,8,,,,,,,,,,,,,,32,1,7,,,,
1490,program_change,10,0,13,,,,,,,,,,,,,,,,13,41,,,
1490,text,660,1,1,,,,,,,,,,,,,,,,,,,,
1490,program_change,10,0,9,,,,,,,,,,,,,,,,8,42,,,
1490,program_change,10,0,4,,,,,,,,,,,,,,,,3,40,,,
1490,program_change,10,0,11,,,,,,,,,,,,,,,,11,43,,,
1490,program_change,10,0,5,,,,,,,,,,,,,,,,4,41,,,
1490,program_change,10,0,2,,,,,,,,,,,,,,,,1,40,,,
1490,program_change,10,0,15,,,,,,,,,,,,,,,,15,41,,,
1490,program_change,10,0,8,,,,,,,,,,,,,,,,7,42,,,
1490,program_change,10,0,12,,,,,,,,,,,,,,,,12,6,,,
1490,program_change,10,0,14,,,,,,,,,,,,,,,,14,40,,,
1490,program_change,10,0,10,,,,,,,,,,,,,,,,10,42,,,
1490,program_change,10,0,3,,,,,,,,,,,,,,,,2,40,,,
1490,program_change,10,0,7,,,,,,,,,,,,,,,,6,41,,,
1490,program_change,10,0,6,,,,,,,,,,,,,,,,5,41,,,
1492,sysex,2,0,1,,,,,,,,,,,,,"(65, 16, 66, 18, 64, 17, 64, 64, 72, 68, 76, 66, 68, 70, 66, 74, 64, 72, 68, 51)",,,,,,,
1493,sysex,1,0,1,,,,,,,,,,,,,"(65, 16, 66, 18, 64, 18, 64, 64, 72, 68, 76, 66, 68, 70, 66, 74, 64, 72, 68, 50)",,,,,,,
1494,sysex,1,0,1,,,,,,,,,,,,,"(65, 16, 66, 18, 64, 19, 64, 64, 72, 68, 76, 66, 68, 70, 66, 74, 64, 72, 68, 49)",,,,,,,
1495,sysex,1,0,1,,,,,,,,,,,,,"(65, 16, 66, 18, 64, 20, 64, 64, 72, 68, 76, 66, 68, 70, 66, 74, 64, 72, 68, 48)",,,,,,,
1496,sysex,1,0,1,,,,,,,,,,,,,"(65, 16, 66, 18, 64, 21, 64, 64, 72, 68, 76, 66, 68, 70, 66, 74, 64, 72, 68, 47)",,,,,,,
1497,sysex,1,0,1,,,,,,,,,,,,,"(65, 16, 66, 18, 64, 22, 64, 64, 72, 68, 76, 66, 68, 70, 66, 74, 64, 72, 68, 46)",,,,,,,
1498,sysex,1,0,1,,,,,,,,,,,,,"(65, 16, 66, 18, 64, 23, 64, 64, 72, 68, 76, 66, 68, 70, 66, 74, 64, 72, 68, 45)",,,,,,,
1499,sysex,1,0,1,,,,,,,,,,,,,"(65, 16, 66, 18, 64, 24, 64, 64, 72, 68, 76, 66, 68, 70, 66, 74, 64, 72, 68, 44)",,,,,,,
1500,control_change,10,0,4,,,,,,,,,,,,,,10,49,3,,,,
1500,control_change,10,0,7,,,,,,,,,,,,,,10,79,6,,,,
1500,control_change,10,0,9,,,,,,,,,,,,,,10,89,8,,,,
1500,control_change,10,0,10,,,,,,,,,,,,,,10,99,10,,,,
1500,control_change,10,0,12,,,,,,,,,,,,,,10,64,12,,,,
1500,control_change,10,0,3,,,,,,,,,,,,,,10,39,2,,,,
1500,control_change,10,0,13,,,,,,,,,,,,,,10,44,13,,,,
1500,control_change,10,0,14,,,,,,,,,,,,,,10,74,14,,,,
1500,control_change,10,0,15,,,,,,,,,,,,,,10,94,15,,,,
1500,control_change,10,0,5,,,,,,,,,,,,,,10,59,4,,,,
1500,control_change,10,0,8,,,,,,,,,,,,,,10,79,7,,,,
1500,control_change,10,0,2,,,,,,,,,,,,,,10,29,1,,,,
1500,control_change,10,0,11,,,,,,,,,,,,,,10,64,11,,,,
1500,control_change,10,0,6,,,,,,,,,,,,,,10,69,5,,,,
1501,sysex,2,0,1,,,,,,,,,,,,,"(65, 16, 66, 18, 64, 25, 64, 64, 72, 68, 76, 66, 68, 70, 66, 74, 64, 72, 68, 43)",,,,,,,
1502,sysex,1,0,1,,,,,,,,,,,,,"(65, 16, 66, 18, 64, 16, 64, 64, 72, 68, 76, 66, 68, 70, 66, 74, 64, 72, 68, 52)",,,,,,,
1503,sysex,1,0,1,,,,,,,,,,,,,"(65, 16, 66, 18, 64, 26, 64, 64, 72, 68, 76, 66, 68, 70, 66, 74, 64, 72, 68, 42)",,,,,,,
1504,sysex,1,0,1,,,,,,,,,,,,,"(65, 16, 66, 18, 64, 27, 64, 64, 72, 68, 76, 66, 68, 70, 66, 74, 64, 72, 68, 41)",,,,,,,
1505,sysex,1,0,1,,,,,,,,,,,,,"(65, 16, 66, 18, 64, 28, 64, 64, 72, 68, 76, 66, 68, 70, 66, 74, 64, 72, 68, 40)",,,,,,,
1506,sysex,1,0,1,,,,,,,,,,,,,"(65, 16, 66, 18, 64, 29, 64, 64, 72, 68, 76, 66, 68, 70, 66, 74, 64, 72, 68, 39)",,,,,,,
1507,sysex,1,0,1,,,,,,,,,,,,,"(65, 16, 66, 18, 64, 30, 64, 64, 72, 68, 76, 66, 68, 70, 66, 74, 64, 72, 68, 38)",,,,,,,
1508,sysex,1,0,1,,,,,,,,,,,,,"(65, 16, 66, 18, 64, 31, 64, 64, 72, 68, 76, 66, 68, 70, 66, 74, 64, 72, 68, 37)",,,,,,,
1510,control_change,10,0,5,,,,,,,,,,,,,,11,100,4,,,,
1510,control_change,10,0,13,,,,,,,,,,,,,,11,105,13,,,,
1510,control_change,10,0,8,,,,,,,,,,,,,,11,100,7,,,,
1510,control_change,10,0,3,,,,,,,,,,,,,,11,100,2,,,,
1510,control_change,10,0,15,,,,,,,,,,,,,,11,105,15,,,,
1510,control_change,10,0,7,,,,,,,,,,,,,,11,100,6,,,,
1510,control_change,10,0,4,,,,,,,,,,,,,,11,100,3,,,,
1510,control_change,10,0,9,,,,,,,,,,,,,,11,100,8,,,,
1510,control_change,10,0,12,,,,,,,,,,,,,,11,100,12,,,,
1510,control_change,10,0,6,,,,,,,,,,,,,,11,100,5,,,,
1510,control_change,10,0,11,,,,,,,,,,,,,,11,100,11,,,,
1510,control_change,10,0,10,,,,,,,,,,,,,,11,100,10,,,,
1510,control_change,10,0,2,,,,,,,,,,,,,,11,100,1,,,,
1510,control_change,10,0,14,,,,,,,,,,,,,,11,105,14,,,,
1520,control_change,10,0,2,,,,,,,,,,,,,,7,125,1,,,,
1520,control_change,10,0,4,,,,,,,,,,,,,,7,120,3,,,,
1520,control_change,10,0,11,,,,,,,,,,,,,,7,120,11,,,,
1520,control_change,10,0,14,,,,,,,,,,,,,,7,118,14,,,,
1520,control_change,10,0,15,,,,,,,,,,,,,,7,118,15,,,,
1520,control_change,10,0,5,,,,,,,,,,,,,,7,120,4,,,,
1520,control_change,10,0,3,,,,,,,,,,,,,,7,120,2,,,,
1520,control_change,10,0,7,,,,,,,,,,,,,,7,120,6,,,,
1520,control_change,10,0,13,,,,,,,,,,,,,,7,118,13,,,,
1520,control_change,10,0,6,,,,,,,,,,,,,,7,120,5,,,,
1520,control_change,10,0,12,,,,,,,,,,,,,,7,80,12,,,,
1520,control_change,10,0,8,,,,,,,,,,,,,,7,120,7,,,,
1520,control_change,10,0,10,,,,,,,,,,,,,,7,120,10,,,,
1520,control_change,10,0,9,,,,,,,,,,,,,,7,120,8,,,,
1530,control_change,10,0,6,,,,,,,,,,,,,,93,0,5,,,,
1530,control_change,10,0,14,,,,,,,,,,,,,,93,0,14,,,,
1530,control_change,10,0,13,,,,,,,,,,,,,,93,0,13,,,,
1530,control_change,10,0,15,,,,,,,,,,,,,,93,0,15,,,,
1530,control_change,10,0,8,,,,,,,,,,,,,,93,0,7,,,,
1530,control_change,10,0,7,,,,,,,,,,,,,,93,0,6,,,,
1530,control_change,10,0,3,,,,,,,,,,,,,,93,0,2,,,,
1530,control_change,10,0,12,,,,,,,,,,,,,,93,0,12,,,,
1530,control_change,10,0,2,,,,,,,,,,,,,,93,0,1,,,,
1530,control_change,10,0,9,,,,,,,,,,,,,,93,0,8,,,,
1530,control_change,10,0,10,,,,,,,,,,,,,,93,0,10,,,,
1530,control_change,10,0,5,,,,,,,,,,,,,,93,0,4,,,,
1530,control_change,10,0,11,,,,,,,,,,,,,,93,0,11,,,,
1530,control_change,10,0,4,,,,,,,,,,,,,,93,0,3,,,,
1540,control_change,10,0,6,,,,,,,,,,,,,,91,0,5,,,,
1540,control_change,10,0,11,,,,,,,,,,,,,,91,0,11,,,,
1540,control_change,10,0,15,,,,,,,,,,,,,,91,0,15,,,,
1540,control_change,10,0,9,,,,,,,,,,,,,,91,0,8,,,,
1540,control_change,10,0,12,,,,,,,,,,,,,,91,0,12,,,,
1540,control_change,10,0,2,,,,,,,,,,,,,,91,0,1,,,,
1540,control_change,10,0,4,,,,,,,,,,,,,,91,0,3,,,,
1540,control_change,10,0,3,,,,,,,,,,,,,,91,0,2,,,,
1540,control_change,10,0,10,,,,,,,,,,,,,,91,0,10,,,,
1540,control_change,10,0,7,,,,,,,,,,,,,,91,0,6,,,,
1540,control_change,10,0,8,,,,,,,,,,,,,,91,0,7,,,,
1540,control_change,10,0,13,,,,,,,,,,,,,,91,0,13,,,,
1540,control_change,10,0,14,,,,,,,,,,,,,,91,0,14,,,,
1540,control_change,10,0,5,,,,,,,,,,,,,,91,0,4,,,,
1550,pitchwheel,10,0,3,,,,,,,,,,,,,,,,2,,0,,
1550,pitchwheel,10,0,12,,,,,,,,,,,,,,,,12,,0,,
1550,pitchwheel,10,0,7,,,,,,,,,,,,,,,,6,,0,,
1550,pitchwheel,10,0,6,,,,,,,,,,,,,,,,5,,0,,
1550,pitchwheel,10,0,15,,,,,,,,,,,,,,,,15,,0,,
1550,pitchwheel,10,0,13,,,,,,,,,,,,,,,,13,,0,,
1550,pitchwheel,10,0,9,,,,,,,,,,,,,,,,8,,0,,
1550,pitchwheel,10,0,5,,,,,,,,,,,,,,,,4,,0,,
1550,pitchwheel,10,0,4,,,,,,,,,,,,,,,,3,,0,,
1550,pitchwheel,10,0,14,,,,,,,,,,,,,,,,14,,0,,
1550,pitchwheel,10,0,2,,,,,,,,,,,,,,,,1,,0,,
1550,pitchwheel,10,0,8,,,,,,,,,,,,,,,,7,,0,,
1550,pitchwheel,10,0,10,,,,,,,,,,,,,,,,10,,0,,
1550,pitchwheel,10,0,11,,,,,,,,,,,,,,,,11,,0,,
1560,control_change,10,0,13,,,,,,,,,,,,,,1,0,13,,,,
1560,control_change,10,0,4,,,,,,,,,,,,,,1,0,3,,,,
1560,control_change,10,0,7,,,,,,,,,,,,,,1,0,6,,,,
1560,control_change,10,0,9,,,,,,,,,,,,,,1,0,8,,,,
1560,control_change,10,0,10,,,,,,,,,,,,,,1,0,10,,,,
1560,control_change,10,0,12,,,,,,,,,,,,,,1,0,12,,,,
1560,control_change,10,0,14,,,,,,,,,,,,,,1,0,14,,,,
1560,control_change,10,0,11,,,,,,,,,,,,,,1,0,11,,,,
1560,control_change,10,0,6,,,,,,,,,,,,,,1,0,5,,,,
1560,control_change,10,0,5,,,,,,,,,,,,,,1,0,4,,,,
1560,control_change,10,0,8,,,,,,,,,,,,,,1,0,7,,,,
1560,control_change,10,0,15,,,,,,,,,,,,,,1,0,15,,,,
1560,control_change,10,0,2,,,,,,,,,,,,,,1,0,1,,,,
1560,control_change,10,0,3,,,,,,,,,,,,,,1,0,2,,,,
1570,control_change,10,0,14,,,,,,,,,,,,,,64,0,14,,,,
1570,control_change,10,0,5,,,,,,,,,,,,,,64,0,4,,,,
1570,control_change,10,0,13,,,,,,,,,,,,,,64,0,13,,,,
1570,control_change,10,0,4,,,,,,,,,,,,,,64,0,3,,,,
1570,control_change,10,0,7,,,,,,,,,,,,,,64,0,6,,,,
1570,control_change,10,0,6,,,,,,,,,,,,,,64,0,5,,,,
1570,control_change,10,0,12,,,,,,,,,,,,,,64,0,12,,,,
1570,control_change,10,0,8,,,,,,,,,,,,,,64,0,7,,,,
1570,control_change,10,0,11,,,,,,,,,,,,,,64,0,11,,,,
1570,control_change,10,0,10,,,,,,,,,,,,,,64,0,10,,,,
1570,control_change,10,0,15,,,,,,,,,,,,,,64,0,15,,,,
1570,control_change,10,0,2,,,,,,,,,,,,,,64,0,1,,,,
1570,control_change,10,0,3,,,,,,,,,,,,,,64,0,2,,,,
1570,control_change,10,0,9,,,,,,,,,,,,,,64,0,8,,,,
1580,control_change,10,0,6,,,,,,,,,,,,,,91,64,5,,,,
1580,control_change,10,0,10,,,,,,,,,,,,,,91,64,10,,,,
1580,control_change,10,0,2,,,,,,,,,,,,,,91,64,1,,,,
1580,control_change,10,0,14,,,,,,,,,,,,,,91,64,14,,,,
1580,control_change,10,0,3,,,,,,,,,,,,,,91,64,2,,,,
1580,control_change,10,0,8,,,,,,,,,,,,,,91,64,7,,,,
1580,control_change,10,0,12,,,,,,,,,,,,,,91,64,12,,,,
1580,control_change,10,0,15,,,,,,,,,,,,,,91,64,15,,,,
1580,control_change,10,0,9,,,,,,,,,,,,,,91,64,8,,,,
1580,control_change,10,0,5,,,,,,,,,,,,,,91,64,4,,,,
1580,control_change,10,0,11,,,,,,,,,,,,,,91,64,11,,,,
1580,control_change,10,0,4,,,,,,,,,,,,,,91,64,3,,,,
1580,control_change,10,0,13,,,,,,,,,,,,,,91,64,13,,,,
1580,control_change,10,0,7,,,,,,,,,,,,,,91,64,6,,,,
1590,control_change,10,0,2,,,,,,,,,,,,,,99,1,1,,,,
1590,control_change,10,0,8,,,,,,,,,,,,,,99,1,7,,,,
1590,control_change,10,0,7,,,,,,,,,,,,,,99,1,6,,,,
1590,control_change,10,0,5,,,,,,,,,,,,,,99,1,4,,,,
1590,control_change,10,0,12,,,,,,,,,,,,,,99,1,12,,,,
1590,control_change,10,0,15,,,,,,,,,,,,,,99,1,15,,,,
1590,control_change,10,0,4,,,,,,,,,,,,,,99,1,3,,,,
1590,control_change,10,0,13,,,,,,,,,,,,,,99,1,13,,,,
1590,control_change,10,0,11,,,,,,,,,,,,,,99,1,11,,,,
1590,control_change,10,0,9,,,,,,,,,,,,,,99,1,8,,,,
1590,control_change,10,0,3,,,,,,,,,,,,,,99,1,2,,,,
1590,control_change,10,0,10,,,,,,,,,,,,,,99,1,10,,,,
1590,control_change,10,0,6,,,,,,,,,,,,,,99,1,5,,,,
1590,control_change,10,0,14,,,,,,,,,,,,,,99,1,14,,,,
1600,control_change,10,0,14,,,,,,,,,,,,,,98,32,14,,,,
1600,control_change,10,0,8,,,,,,,,,,,,,,98,32,7,,,,
1600,control_change,10,0,11,,,,,,,,,,,,,,98,32,11,,,,
1600,control_change,10,0,5,,,,,,,,,,,,,,98,32,4,,,,
1600,control_change,10,0,10,,,,,,,,,,,,,,98,32,10,,,,
1600,control_change,10,0,6,,,,,,,,,,,,,,98,32,5,,,,
1600,control_change,10,0,4,,,,,,,,,,,,,,98,32,3,,,,
1600,control_change,10,0,15,,,,,,,,,,,,,,98,32,15,,,,
1600,control_change,10,0,12,,,,,,,,,,,,,,98,32,12,,,,
1600,control_change,10,0,3,,,,,,,,,,,,,,98,32,2,,,,
1600,control_change,10,0,9,,,,,,,,,,,,,,98,32,8,,,,
1600,control_change,10,0,13,,,,,,,,,,,,,,98,32,13,,,,
1600,control_change,10,0,2,,,,,,,,,,,,,,98,32,1,,,,
1600,control_change,10,0,7,,,,,,,,,,,,,,98,32,6,,,,
1610,control_change,10,0,9,,,,,,,,,,,,,,6,61,8,,,,
1610,control_change,10,0,14,,,,,,,,,,,,,,6,52,14,,,,
1610,control_change,10,0,5,,,,,,,,,,,,,,6,75,4,,,,
1610,control_change,10,0,10,,,,,,,,,,,,,,6,64,10,,,,
1610,control_change,10,0,11,,,,,,,,,,,,,,6,70,11,,,,
1610,control_change,10,0,7,,,,,,,,,,,,,,6,64,6,,,,
1610,control_change,10,0,12,,,,,,,,,,,,,,6,64,12,,,,
1610,control_change,10,0,3,,,,,,,,,,,,,,6,63,2,,,,
1610,control_change,10,0,13,,,,,,,,,,,,,,6,62,13,,,,
1610,control_change,10,0,6,,,,,,,,,,,,,,6,62,5,,,,
1610,control_change,10,0,4,,,,,,,,,,,,,,6,64,3,,,,
1610,control_change,10,0,8,,,,,,,,,,,,,,6,75,7,,,,
1610,control_change,10,0,15,,,,,,,,,,,,,,6,70,15,,,,
1610,control_change,10,0,2,,,,,,,,,,,,,,6,75,1,,,,
1620,control_change,10,0,11,,,,,,,,,,,,,,98,33,11,,,,
1620,control_change,10,0,14,,,,,,,,,,,,,,98,33,14,,,,
1620,control_change,10,0,13,,,,,,,,,,,,,,98,33,13,,,,
1620,control_change,10,0,12,,,,,,,,,,,,,,98,33,12,,,,
1620,control_change,10,0,10,,,,,,,,,,,,,,98,33,10,,,,
1620,control_change,10,0,3,,,,,,,,,,,,,,98,33,2,,,,
1620,control_change,10,0,4,,,,,,,,,,,,,,98,33,3,,,,
1620,control_change,10,0,6,,,,,,,,,,,,,,98,33,5,,,,
1620,control_change,10,0,7,,,,,,,,,,,,,,98,33,6,,,,
1620,control_change,10,0,2,,,,,,,,,,,,,,98,33,1,,,,
1620,control_change,10,0,8,,,,,,,,,,,,,,98,33,7,,,,
1620,control_change,10,0,5,,,,,,,,,,,,,,98,33,4,,,,
1620,control_change,10,0,15,,,,,,,,,,,,,,98,33,15,,,,
1620,control_change,10,0,9,,,,,,,,,,,,,,98,33,8,,,,
1630,control_change,10,0,3,,,,,,,,,,,,,,6,68,2,,,,
1630,control_change,10,0,5,,,,,,,,,,,,,,6,60,4,,,,
1630,control_change,10,0,12,,,,,,,,,,,,,,6,50,12,,,,
1630,control_change,10,0,9,,,,,,,,,,,,,,6,73,8,,,,
1630,control_change,10,0,4,,,,,,,,,,,,,,6,60,3,,,,
1630,control_change,10,0,8,,,,,,,,,,,,,,6,60,7,,,,
1630,control_change,10,0,10,,,,,,,,,,,,,,6,60,10,,,,
1630,control_change,10,0,11,,,,,,,,,,,,,,6,64,11,,,,
1630,control_change,10,0,15,,,,,,,,,,,,,,6,64,15,,,,
1630,control_change,10,0,7,,,,,,,,,,,,,,6,60,6,,,,
1630,control_change,10,0,2,,,,,,,,,,,,,,6,60,1,,,,
1630,control_change,10,0,14,,,,,,,,,,,,,,6,64,14,,,,
1630,control_change,10,0,6,,,,,,,,,,,,,,6,71,5,,,,
1630,control_change,10,0,13,,,,,,,,,,,,,,6,63,13,,,,
1640,control_change,10,0,13,,,,,,,,,,,,,,98,99,13,,,,
1640,control_change,10,0,12,,,,,,,,,,,,,,98,99,12,,,,
1640,control_change,10,0,5,,,,,,,,,,,,,,98,99,4,,,,
1640,control_change,10,0,11,,,,,,,,,,,,,,98,99,11,,,,
