tick,type,key,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,tempo,note,velocity,channel
6096,note_on,,0,0,3,,,,,,58,88,0
6096,note_on,,0,0,1,,,,,,67,72,0
6096,note_on,,48,0,1,,,,,,69,0,0
6144,note_on,,48,0,3,,,,,,58,0,0
6144,note_on,,0,0,3,,,,,,57,88,0
6144,note_on,,192,0,4,,,,,,55,0,0
6144,note_on,,0,0,4,,,,,,50,72,0
6144,note_on,,48,0,1,,,,,,67,0,0
6144,note_on,,0,0,1,,,,,,67,72,0
6192,note_on,,48,0,1,,,,,,67,0,0
6192,note_on,,0,0,1,,,,,,64,72,0
6240,note_on,,48,0,1,,,,,,64,0,0
6240,note_on,,0,0,1,,,,,,65,72,0
6288,note_on,,48,0,1,,,,,,65,0,0
6288,note_on,,0,0,1,,,,,,62,72,0
6336,note_on,,0,0,1,,,,,,70,72,0
6336,note_on,,48,0,1,,,,,,62,0,0
6336,note_on,,192,0,3,,,,,,57,0,0
6336,note_on,,0,0,3,,,,,,57,88,0
6384,note_on,,0,0,3,,,,,,53,72,0
6384,note_on,,48,0,3,,,,,,57,0,0
6432,note_on,,0,0,4,,,,,,52,72,0
6432,note_on,,288,0,4,,,,,,50,0,0
6432,note_on,,0,0,3,,,,,,55,72,0
6432,note_on,,48,0,3,,,,,,53,0,0
6480,note_on,,48,0,4,,,,,,52,0,0
6480,note_on,,0,0,4,,,,,,50,72,0
6528,note_on,,192,0,1,,,,,,70,0,0
6528,note_on,,0,0,1,,,,,,70,72,0
6528,note_on,,0,0,3,,,,,,60,72,0
6528,note_on,,96,0,3,,,,,,55,0,0
6528,note_on,,48,0,4,,,,,,50,0,0
6528,note_on,,0,0,4,,,,,,52,72,0
6576,note_on,,48,0,1,,,,,,70,0,0
6576,note_on,,0,0,1,,,,,,67,72,0
6624,note_on,,0,0,4,,,,,,53,72,0
6624,note_on,,96,0,4,,,,,,52,0,0
6624,note_on,,0,0,1,,,,,,69,72,0
6624,note_on,,48,0,1,,,,,,67,0,0
6672,note_on,,0,0,4,,,,,,52,72,0
6672,note_on,,48,0,4,,,,,,53,0,0
6720,note_on,,0,0,4,,,,,,54,72,0
6720,note_on,,96,0,1,,,,,,69,0,0
6720,note_on,,0,0,1,,,,,,74,72,0
6720,note_on,,192,0,3,,,,,,60,0,0
6720,note_on,,48,0,4,,,,,,52,0,0
6720,note_on,,0,0,3,,,,,,60,72,0
6768,note_on,,0,0,3,,,,,,57,72,0
6768,note_on,,48,0,3,,,,,,60,0,0
6816,note_on,,96,0,4,,,,,,54,0,0
6816,note_on,,0,0,4,,,,,,55,72,0
6816,note_on,,0,0,3,,,,,,59,72,0
6816,note_on,,48,0,3,,,,,,57,0,0
6864,note_on,,48,0,4,,,,,,55,0,0
6864,note_on,,0,0,4,,,,,,54,72,0
6912,note_on,,0,0,1,,,,,,74,72,0
6912,note_on,,192,0,1,,,,,,74,0,0
6912,note_on,,96,0,3,,,,,,59,0,0
6912,note_on,,0,0,3,,,,,,64,72,0
6912,note_on,,0,0,4,,,,,,56,72,0
6912,note_on,,48,0,4,,,,,,54,0,0
6960,note_on,,48,0,1,,,,,,74,0,0
6960,note_on,,0,0,1,,,,,,71,72,0
7008,note_on,,0,0,4,,,,,,57,72,0
7008,note_on,,0,0,1,,,,,,72,72,0
7008,note_on,,48,0,1,,,,,,71,0,0
7008,note_on,,96,0,4,,,,,,56,0,0
7056,note_on,,48,0,4,,,,,,57,0,0
7056,note_on,,0,0,4,,,,,,56,72,0
7104,note_on,,48,0,4,,,,,,56,0,0
7104,note_on,,0,0,4,,,,,,57,72,0
7104,note_on,,0,0,3,,,,,,64,72,0
7104,note_on,,96,0,1,,,,,,72,0,0
7104,note_on,,0,0,1,,,,,,77,72,0
7104,note_on,,192,0,3,,,,,,64,0,0
7152,note_on,,48,0,3,,,,,,64,0,0
7152,note_on,,0,0,3,,,,,,61,72,0
7200,note_on,,0,0,3,,,,,,62,72,0
7200,note_on,,0,0,4,,,,,,58,72,0
7200,note_on,,96,0,4,,,,,,57,0,0
7200,note_on,,48,0,3,,,,,,61,0,0
7248,note_on,,48,0,4,,,,,,58,0,0
7248,note_on,,0,0,4,,,,,,57,72,0
7296,note_on,,192,0,1,,,,,,77,0,0
7296,note_on,,0,0,1,,,,,,77,72,0
7296,note_on,,0,0,4,,,,,,59,72,0
7296,note_on,,96,0,3,,,,,,62,0,0
7296,note_on,,48,0,4,,,,,,57,0,0
7296,note_on,,0,0,3,,,,,,67,72,0
7344,note_on,,0,0,1,,,,,,74,72,0
7344,note_on,,48,0,1,,,,,,77,0,0
7392,note_on,,96,0,4,,,,,,59,0,0
7392,note_on,,0,0,4,,,,,,60,72,0
7392,note_on,,48,0,1,,,,,,74,0,0
7392,note_on,,0,0,1,,,,,,76,72,0
7440,note_on,,0,0,4,,,,,,59,72,0
7440,note_on,,48,0,4,,,,,,60,0,0
7488,note_on,,0,0,3,,,,,,67,72,0
7488,note_on,,96,0,1,,,,,,76,0,0
7488,note_on,,0,0,1,,,,,,69,72,0
7488,note_on,,0,0,4,,,,,,61,72,0
7488,note_on,,48,0,4,,,,,,59,0,0
7488,note_on,,192,0,3,,,,,,67,0,0
7536,note_on,,48,0,3,,,,,,67,0,0
7536,note_on,,0,0,3,,,,,,64,72,0
7584,note_on,,48,0,3,,,,,,64,0,0
7584,note_on,,0,0,3,,,,,,65,72,0
7584,note_on,,96,0,4,,,,,,61,0,0
7584,note_on,,0,0,4,,,,,,62,72,0
7584,note_on,,0,0,1,,,,,,74,72,0
7584,note_on,,96,0,1,,,,,,69,0,0
7632,note_on,,0,0,4,,,,,,56,72,0
7632,note_on,,48,0,4,,,,,,62,0,0
7680,note_on,,0,0,1,,,,,,74,72,0
7680,note_on,,96,0,1,,,,,,74,0,0
7680,note_on,,0,0,4,,,,,,57,72,0
7680,note_on,,48,0,4,,,,,,56,0,0
7680,note_on,,0,0,3,,,,,,64,72,0
7680,note_on,,96,0,3,,,,,,65,0,0
7728,note_on,,48,0,1,,,,,,74,0,0
7728,note_on,,0,0,1,,,,,,71,72,0
7776,note_on,,48,0,1,,,,,,71,0,0
7776,note_on,,0,0,1,,,,,,72,72,0
7824,note_on,,0,0,3,,,,,,69,72,0
7824,note_on,,144,0,3,,,,,,64,0,0
7872,note_on,,0,0,3,,,,,,62,72,0
7872,note_on,,48,0,3,,,,,,69,0,0
7872,note_on,,192,0,4,,,,,,57,0,0
7872,note_on,,0,0,4,,,,,,57,72,0
7872,note_on,,96,0,1,,,,,,72,0,0
7872,note_on,,0,0,1,,,,,,65,72,0
7920,note_on,,48,0,4,,,,,,57,0,0
7920,note_on,,0,0,4,,,,,,53,72,0
7968,note_on,,0,0,4,,,,,,55,72,0
7968,note_on,,96,0,1,,,,,,65,0,0
7968,note_on,,0,0,1,,,,,,70,72,0
7968,note_on,,48,0,4,,,,,,53,0,0
8016,note_on,,0,0,3,,,,,,64,72,0
8016,note_on,,144,0,3,,,,,,62,0,0
8064,note_on,,48,0,3,,,,,,64,0,0
8064,note_on,,96,0,4,,,,,,55,0,0
8064,note_on,,0,0,4,,,,,,55,72,0
8064,note_on,,0,0,1,,,,,,69,72,0
8064,note_on,,96,0,1,,,,,,70,0,0
8064,note_on,,0,0,3,,,,,,61,72,0
8112,note_on,,48,0,4,,,,,,55,0,0
8112,note_on,,0,0,4,,,,,,52,72,0
8160,note_on,,96,0,3,,,,,,61,0,0
8160,note_on,,0,0,3,,,,,,62,72,0
8160,note_on,,0,0,4,,,,,,53,72,0
8160,note_on,,48,0,4,,,,,,52,0,0
8208,note_on,,0,0,3,,,,,,57,72,0
8208,note_on,,48,0,3,,,,,,62,0,0
8256,note_on,,48,0,3,,,,,,57,0,0
8256,note_on,,0,0,1,,,,,,62,72,0
8256,note_on,,192,0,1,,,,,,69,0,0
8256,note_on,,0,0,3,,,,,,59,72,0
8304,note_on,,144,0,4,,,,,,53,0,0
8304,note_on,,0,0,4,,,,,,50,72,0
8352,note_on,,48,0,4,,,,,,50,0,0
8352,note_on,,0,0,4,,,,,,52,72,0
8352,note_on,,96,0,1,,,,,,62,0,0
8352,note_on,,0,0,1,,,,,,67,72,0
8400,note_on,,144,0,3,,,,,,59,0,0
8400,note_on,,0,0,3,,,,,,61,72,0
8448,note_on,,2784,0,2,,,,,,62,88,0
8448,note_on,,0,0,3,,,,,,62,72,0
8448,note_on,,0,0,1,,,,,,67,72,0
8448,note_on,,48,0,3,,,,,,61,0,0
8448,note_on,,96,0,4,,,,,,52,0,0
8448,note_on,,0,0,4,,,,,,50,72,0
8448,note_on,,96,0,1,,,,,,67,0,0
8496,note_on,,48,0,1,,,,,,67,0,0
8496,note_on,,0,0,1,,,,,,64,72,0
8544,note_on,,48,0,1,,,,,,64,0,0
8544,note_on,,0,0,1,,,,,,65,72,0
8544,note_on,,0,0,3,,,,,,57,72,0
8544,note_on,,96,0,3,,,,,,62,0,0
8592,note_on,,48,0,1,,,,,,65,0,0
8592,note_on,,0,0,1,,,,,,74,72,0
8640,note_on,,0,0,2,,,,,,69,88,0
8640,note_on,,0,0,4,,,,,,50,72,0
8640,note_on,,192,0,2,,,,,,62,0,0
8640,note_on,,192,0,4,,,,,,50,0,0
8640,note_on,,0,0,1,,,,,,64,72,0
8640,note_on,,48,0,1,,,,,,74,0,0
8688,note_on,,0,0,4,,,,,,47,72,0
8688,note_on,,48,0,4,,,,,,50,0,0
8736,note_on,,0,0,4,,,,,,49,72,0
8736,note_on,,48,0,4,,,,,,47,0,0
8832,note_on,,0,0,1,,,,,,64,72,0
8832,note_on,,192,0,1,,,,,,64,0,0
8832,note_on,,288,0,3,,,,,,57,0,0
8832,note_on,,96,0,4,,,,,,49,0,0
8832,note_on,,0,0,4,,,,,,50,72,0
8832,note_on,,0,0,3,,,,,,57,72,0
8832,note_on,,0,0,2,,,,,,65,88,0
8832,note_on,,192,0,2,,,,,,69,0,0
8880,note_on,,48,0,1,,,,,,64,0,0
8880,note_on,,0,0,1,,,,,,62,72,0
8928,note_on,,48,0,1,,,,,,62,0,0
8928,note_on,,0,0,1,,,,,,69,72,0
8976,note_on,,0,0,4,,,,,,48,72,0
8976,note_on,,144,0,4,,,,,,50,0,0
9024,note_on,,192,0,3,,,,,,57,0,0
9024,note_on,,0,0,4,,,,,,46,72,0
9024,note_on,,48,0,4,,,,,,48,0,0
9024,note_on,,0,0,3,,,,,,58,72,0
9024,note_on,,0,0,2,,,,,,62,88,0
9024,note_on,,192,0,2,,,,,,65,0,0
9120,note_on,,0,0,1,,,,,,67,72,0
9120,note_on,,192,0,1,,,,,,69,0,0
9216,note_on,,192,0,3,,,,,,58,0,0
9216,note_on,,0,0,2,,,,,,61,88,0
9216,note_on,,192,0,2,,,,,,62,0,0
9216,note_on,,96,0,1,,,,,,67,0,0
9216,note_on,,192,0,4,,,,,,46,0,0
9216,note_on,,0,0,4,,,,,,45,72,0
9216,note_on,,0,0,1,,,,,,69,72,0
9264,note_on,,48,0,3,,,,,,52,72,0
9312,note_on,,48,0,3,,,,,,52,0,0
9312,note_on,,0,0,3,,,,,,57,72,0
9360,note_on,,144,0,4,,,,,,45,0,0
9360,note_on,,0,0,4,,,,,,43,72,0
9408,note_on,,192,0,2,,,,,,61,0,0
9408,note_on,,0,0,2,,,,,,62,88,0
9408,note_on,,48,0,4,,,,,,43,0,0
9408,note_on,,0,0,4,,,,,,41,72,0
9408,note_on,,192,0,1,,,,,,69,0,0
9456,note_on,,0,0,3,,,,,,58,72,0
9456,note_on,,144,0,3,,,,,,57,0,0
9456,note_on,,48,0,4,,,,,,41,0,0
9456,note_on,,0,0,4,,,,,,43,72,0
9504,note_on,,48,0,4,,,,,,43,0,0
9504,note_on,,0,0,4,,,,,,41,72,0
9504,note_on,,0,0,2,,,,,,64,88,0
9504,note_on,,96,0,2,,,,,,62,0,0
9504,note_on,,48,0,3,,,,,,58,0,0
9504,note_on,,0,0,3,,,,,,57,72,0
9552,note_on,,0,0,4,,,,,,40,72,0
9552,note_on,,48,0,3,,,,,,57,0,0
9552,note_on,,0,0,3,,,,,,55,72,0
9552,note_on,,48,0,4,,,,,,41,0,0
9600,note_on,,0,0,4,,,,,,38,72,0
9600,note_on,,48,0,4,,,,,,40,0,0
9600,note_on,,0,0,3,,,,,,57,72,0
9600,note_on,,0,0,2,,,,,,65,88,0
9600,note_on,,96,0,2,,,,,,64,0,0
9600,note_on,,48,0,3,,,,,,55,0,0
9648,note_on,,48,0,4,,,,,,38,0,0
9648,note_on,,0,0,4,,,,,,41,72,0
9696,note_on,,96,0,3,,,,,,57,0,0
9696,note_on,,48,0,4,,,,,,41,0,0
9696,note_on,,0,0,4,,,,,,40,72,0
9696,note_on,,0,0,3,,,,,,59,72,0
9744,note_on,,48,0,4,,,,,,40,0,0
9744,note_on,,0,0,4,,,,,,38,72,0
9792,note_on,,96,0,3,,,,,,59,0,0
9792,note_on,,0,0,3,,,,,,60,72,0
9792,note_on,,192,0,2,,,,,,65,0,0
9792,note_on,,0,0,2,,,,,,65,88,0
9792,note_on,,48,0,4,,,,,,38,0,0
9792,note_on,,0,0,4,,,,,,45,72,0
9840,note_on,,48,0,2,,,,,,65,0,0
9840,note_on,,0,0,2,,,,,,67,88,0
9888,note_on,,48,0,2,,,,,,67,0,0
